896, -1.35, -5.94, 0.78, -0.04, 10.16
951, -2.21, -5.02, 0.90, -0.08, 10.36
982, -2.80, -4.30, 0.90, -0.12, 10.28
1012, -3.13, -3.74, 0.78, -0.08, 10.28
1043, -3.52, -3.47, 0.90, -0.24, 10.16
1073, -3.61, -3.18, 0.71, -0.16, 10.32
1103, -3.84, -2.89, 0.86, -0.12, 10.36
1134, -4.05, -2.62, 0.86, -0.08, 10.43
1165, -4.08, -2.39, 0.75, -0.08, 10.40
1195, -4.24, -2.20, 0.86, -0.08, 10.32
1225, -4.29, -2.08, 0.78, -0.12, 10.32
1256, -4.37, -1.99, 0.82, -0.12, 10.32
1298, -4.48, -2.15, 0.82, -0.31, 10.12
1340, -4.58, -2.10, 0.86, -0.16, 10.40
1371, -4.69, -1.94, 0.90, -0.12, 10.36
1401, -4.75, -1.82, 0.86, -0.12, 10.40
1432, -4.74, -1.66, 0.82, -0.04, 10.40
1463, -4.84, -1.49, 0.90, -0.04, 10.12
1494, -4.78, -1.48, 0.78, -0.16, 10.32
1524, -4.76, -1.44, 0.82, -0.12, 10.40
1555, -4.73, -1.30, 0.78, -0.04, 10.32
1586, -4.68, -1.25, 0.78, -0.08, 10.32
1616, -4.71, -1.19, 0.86, -0.08, 10.40
1647, -4.68, -1.22, 0.78, -0.16, 10.40
1678, -4.72, -1.28, 0.86, -0.20, 10.24
1709, -4.69, -1.24, 0.78, -0.12, 10.32
1747, -4.54, -1.26, 0.67, -0.16, 10.20
1777, -4.63, -1.30, 0.90, -0.20, 10.36
1808, -4.60, -1.29, 0.78, -0.16, 10.28
1839, -4.59, -1.23, 0.78, -0.12, 10.24
1869, -4.64, -1.27, 0.86, -0.20, 10.36
1900, -4.66, -1.19, 0.82, -0.08, 10.28
1931, -4.74, -1.10, 0.90, -0.08, 10.36
1965, -4.75, -0.99, 0.86, -0.04, 10.36
2000, -4.79, -0.99, 0.86, -0.12, 10.16
2031, -4.75, -1.07, 0.78, -0.20, 10.20
2061, -4.69, -1.12, 0.78, -0.20, 10.36
2093, -4.77, -1.05, 0.90, -0.08, 10.28
2123, -4.79, -1.06, 0.86, -0.16, 10.36
2163, -4.74, -1.07, 0.78, -0.16, 10.36
2194, -4.78, -1.12, 0.86, -0.20, 10.36
2240, -4.77, -1.03, 0.82, -0.08, 10.32
